Tiempo(s),X(km),Y(km),Z(km),Velocidad(km/s),DistanciaTierra(km),DistanciaLuna(km),Altitud(km)
0,6878.137,0.000,0.000,10.6713,6878.137,377521.863,507.137
1000,3695.732,8117.937,4407.680,8.8374,9949.220,374450.780,3578.220
2000,-1654.328,13200.984,7167.550,7.1222,15112.132,369287.868,8741.132
3000,-6915.248,16669.194,9050.634,6.1204,20189.023,364210.977,13818.023
4000,-11853.034,19298.229,10478.083,5.4699,24954.083,359445.917,18583.083
5000,-16487.685,21420.106,11630.169,5.0064,29426.613,354973.387,23055.613
6000,-20863.825,23201.459,12597.365,4.6545,33649.673,350750.327,27278.673
7000,-25021.015,24737.306,13431.261,4.3750,37661.443,346738.557,31290.443
8000,-28990.950,26087.002,14164.086,4.1456,41492.508,342907.492,35121.508
9000,-32798.698,27290.189,14817.363,3.9526,45167.059,339232.941,38796.059
10000,-36464.248,28374.715,15406.213,3.7869,48704.386,335695.614,42333.386
11000,-40003.751,29360.940,15941.690,3.6426,52120.077,332279.923,45749.077
12000,-43430.448,30264.222,16432.132,3.5151,55426.906,328973.094,49055.906
13000,-46755.336,31096.457,16883.998,3.4013,58635.488,325764.512,52264.488
14000,-49987.664,31867.056,17302.400,3.2988,61754.748,322645.252,55383.748
15000,-53135.296,32583.608,17691.456,3.2057,64792.274,319607.726,58421.274
16000,-56204.987,33252.323,18054.539,3.1207,67754.586,316645.414,61383.586
17000,-59202.589,33878.357,18394.447,3.0425,70647.331,313752.669,64276.331
18000,-62133.215,34466.040,18713.533,2.9703,73475.442,310924.558,67104.442
19000,-65001.362,35019.044,19013.790,2.9032,76243.260,308156.740,69872.260
20000,-67811.014,35540.519,19296.927,2.8407,78954.629,305445.371,72583.629
21000,-70565.718,36033.181,19564.421,2.7822,81612.973,302787.027,75241.973
22000,-73268.653,36499.398,19817.556,2.7273,84221.357,300178.643,77850.357
23000,-75922.678,36941.241,20057.457,2.6756,86782.544,297617.456,80411.544
24000,-78530.380,37360.537,20285.117,2.6268,89299.027,295100.973,82928.027
25000,-81094.107,37758.906,20501.413,2.5806,91773.074,292626.926,85402.074
26000,-83615.999,38137.790,20707.131,2.5367,94206.749,290193.251,87835.749
27000,-86098.014,38498.481,20902.970,2.4950,96601.942,287798.058,90230.942
28000,-88541.948,38842.141,21089.562,2.4553,98960.386,285439.614,92589.386
29000,-90949.454,39169.816,21267.475,2.4174,101283.677,283116.323,94912.677
30000,-93322.059,39482.457,21437.225,2.3811,103573.287,280826.713,97202.287
31000,-95661.177,39780.928,21599.282,2.3464,105830.581,278569.419,99459.581
32000,-97968.117,40066.016,21754.072,2.3131,108056.824,276343.176,101685.824
33000,-100244.101,40338.440,21901.986,2.2811,110253.193,274146.807,103882.193
34000,-102490.264,40598.863,22043.384,2.2503,112420.784,271979.216,106049.784
35000,-104707.668,40847.893,22178.596,2.2207,114560.622,269839.378,108189.622
36000,-106897.308,41086.089,22307.926,2.1922,116673.668,267726.332,110302.668
37000,-109060.115,41313.971,22431.656,2.1646,118760.819,265639.181,112389.819
38000,-111196.965,41532.019,22550.047,2.1380,120822.921,263577.079,114451.921
39000,-113308.682,41740.679,22663.339,2.1122,122860.769,261539.231,116489.769
40000,-115396.042,41940.364,22771.760,2.0873,124875.112,259524.888,118504.112
41000,-117459.777,42131.463,22875.518,2.0632,126866.657,257533.343,120495.657
42000,-119500.580,42314.335,22974.809,2.0397,128836.072,255563.928,122465.072
43000,-121519.107,42489.319,23069.818,2.0170,130783.990,253616.010,124412.990
44000,-123515.977,42656.729,23160.714,1.9950,132711.009,251688.991,126340.009
45000,-125491.782,42816.864,23247.660,1.9735,134617.699,249782.301,128246.699
46000,-127447.079,42970.002,23330.807,1.9527,136504.599,247895.401,130133.599
47000,-129382.403,43116.404,23410.297,1.9324,138372.224,246027.776,132001.224
48000,-131298.259,43256.318,23486.265,1.9126,140221.063,244178.937,133850.063
49000,-133195.130,43389.978,23558.836,1.8934,142051.581,242348.419,135680.581
50000,-135073.478,43517.603,23628.130,1.8746,143864.223,240535.777,137493.223
51000,-136933.742,43639.401,23694.261,1.8563,145659.414,238740.586,139288.414
52000,-138776.342,43755.569,23757.336,1.8384,147437.560,236962.440,141066.560
53000,-140601.682,43866.295,23817.455,1.8210,149199.048,235200.952,142828.048
54000,-142410.146,43971.756,23874.716,1.8040,150944.251,233455.749,144573.251
55000,-144202.103,44072.120,23929.209,1.7873,152673.525,231726.475,146302.525
56000,-145977.907,44167.546,23981.021,1.7710,154387.211,230012.789,148016.211
57000,-147737.898,44258.188,24030.235,1.7551,156085.636,228314.364,149714.636
58000,-149482.402,44344.190,24076.931,1.7395,157769.117,226630.883,151398.117
59000,-151211.732,44425.690,24121.182,1.7242,159437.954,224962.046,153066.954
60000,-152926.190,44502.821,24163.060,1.7093,161092.440,223307.560,154721.440
61000,-154626.066,44575.708,24202.635,1.6946,162732.853,221667.147,156361.853
62000,-156311.639,44644.472,24239.970,1.6802,164359.464,220040.536,157988.464
63000,-157983.178,44709.227,24275.130,1.6661,165972.532,218427.468,159601.532
64000,-159640.944,44770.084,24308.172,1.6523,167572.308,216827.692,161201.308
65000,-161285.185,44827.148,24339.156,1.6388,169159.034,215240.966,162788.034
66000,-162916.144,44880.521,24368.135,1.6255,170732.941,213667.059,164361.941
67000,-164534.055,44930.298,24395.162,1.6124,172294.257,212105.743,165923.257
68000,-166139.142,44976.574,24420.287,1.5996,173843.197,210556.803,167472.197
69000,-167731.624,45019.437,24443.560,1.5869,175379.973,209020.027,169008.973
70000,-169311.711,45058.973,24465.026,1.5745,176904.788,207495.212,170533.788
71000,-170879.607,45095.265,24484.731,1.5624,178417.839,205982.161,172046.839
72000,-172435.511,45128.392,24502.718,1.5504,179919.316,204480.684,173548.316
73000,-173979.612,45158.430,24519.027,1.5386,181409.404,202990.596,175038.404
74000,-175512.097,45185.452,24533.699,1.5270,182888.282,201511.718,176517.282
75000,-177033.146,45209.531,24546.772,1.5156,184356.124,200043.876,177985.124
76000,-178542.931,45230.732,24558.284,1.5044,185813.097,198586.903,179442.097
77000,-180041.624,45249.124,24568.270,1.4933,187259.364,197140.636,180888.364
78000,-181529.387,45264.769,24576.764,1.4824,188695.084,195704.916,182324.084
79000,-183006.379,45277.727,24583.800,1.4717,190120.411,194279.589,183749.411
80000,-184472.757,45288.060,24589.410,1.4612,191535.494,192864.506,185164.494
81000,-185928.669,45295.823,24593.625,1.4507,192940.478,191459.522,186569.478
82000,-187374.263,45301.073,24596.476,1.4405,194335.505,190064.495,187964.505
83000,-188809.680,45303.862,24597.990,1.4304,195720.710,188679.290,189349.710
84000,-190235.059,45304.242,24598.196,1.4204,197096.229,187303.771,190725.229
85000,-191650.534,45302.263,24597.122,1.4106,198462.189,185937.811,192091.189
86000,-193056.236,45297.975,24594.794,1.4009,199818.719,184581.281,193447.719
87000,-194452.292,45291.423,24591.236,1.3913,201165.941,183234.059,194794.941
88000,-195838.827,45282.653,24586.475,1.3819,202503.974,181896.026,196132.974
89000,-197215.961,45271.710,24580.533,1.3725,203832.936,180567.064,197461.936
90000,-198583.813,45258.636,24573.434,1.3633,205152.940,179247.060,198781.940
91000,-199942.498,45243.472,24565.201,1.3543,206464.097,177935.903,200093.097
92000,-201292.126,45226.259,24555.855,1.3453,207766.515,176633.485,201395.515
93000,-202632.808,45207.036,24545.418,1.3364,209060.299,175339.701,202689.299
94000,-203964.651,45185.841,24533.910,1.3277,210345.553,174054.447,203974.553
95000,-205287.757,45162.711,24521.351,1.3191,211622.377,172777.623,205251.377
96000,-206602.230,45137.681,24507.761,1.3105,212890.868,171509.132,206519.868
97000,-207908.167,45110.786,24493.158,1.3021,214151.123,170248.877,207780.123
98000,-209205.665,45082.060,24477.561,1.2938,215403.235,168996.765,209032.235
99000,-210494.820,45051.536,24460.988,1.2855,216647.295,167752.705,210276.295
100000,-211775.724,45019.246,24443.456,1.2774,217883.392,166516.608,211512.392
101000,-213048.466,44985.221,24424.982,1.2693,219111.613,165288.387,212740.613
102000,-214313.136,44949.492,24405.583,1.2613,220332.044,164067.956,213961.044
103000,-215569.819,44912.088,24385.274,1.2535,221544.767,162855.233,215173.767
104000,-216818.599,44873.037,24364.071,1.2457,222749.865,161650.135,216378.865
105000,-218059.560,44832.367,24341.989,1.2380,223947.417,160452.583,217576.417
106000,-219292.782,44790.107,24319.044,1.2304,225137.500,159262.500,218766.500
107000,-220518.344,44746.282,24295.249,1.2228,226320.191,158079.809,219949.191
108000,-221736.324,44700.918,24270.618,1.2153,227495.565,156904.435,221124.565
109000,-222946.796,44654.041,24245.166,1.2080,228663.695,155736.305,222292.695
110000,-224149.836,44605.675,24218.906,1.2006,229824.652,154575.348,223453.652
111000,-225345.515,44555.845,24191.850,1.1934,230978.506,153421.494,224607.506
112000,-226533.905,44504.573,24164.011,1.1862,232125.326,152274.674,225754.326
113000,-227715.076,44451.883,24135.403,1.1791,233265.178,151134.822,226894.178
114000,-228889.095,44397.797,24106.037,1.1721,234398.130,150001.870,228027.130
115000,-230056.030,44342.336,24075.924,1.1652,235524.245,148875.755,229153.245
116000,-231215.946,44285.523,24045.077,1.1583,236643.586,147756.414,230272.586
117000,-232368.907,44227.378,24013.507,1.1515,237756.216,146643.784,231385.216
118000,-233514.977,44167.920,23981.224,1.1447,238862.196,145537.804,232491.196
119000,-234654.216,44107.172,23948.240,1.1380,239961.584,144438.416,233590.584
120000,-235786.686,44045.150,23914.565,1.1314,241054.440,143345.560,234683.440
121000,-236912.447,43981.875,23880.210,1.1248,242140.821,142259.179,235769.821
122000,-238031.555,43917.366,23845.184,1.1183,243220.783,141179.217,236849.783
123000,-239144.069,43851.639,23809.498,1.1118,244294.381,140105.619,237923.381
124000,-240250.045,43784.714,23773.160,1.1054,245361.669,139038.331,238990.669
125000,-241349.538,43716.607,23736.181,1.0991,246422.701,137977.299,240051.701
126000,-242442.602,43647.336,23698.570,1.0928,247477.529,136922.471,241106.529
127000,-243529.290,43576.917,23660.335,1.0865,248526.204,135873.796,242155.204
128000,-244609.654,43505.366,23621.486,1.0803,249568.776,134831.224,243197.776
129000,-245683.745,43432.699,23582.032,1.0742,250605.296,133794.704,244234.296
130000,-246751.614,43358.933,23541.980,1.0681,251635.810,132764.190,245264.810
131000,-247813.311,43284.081,23501.339,1.0621,252660.368,131739.632,246289.368
132000,-248868.883,43208.161,23460.117,1.0561,253679.016,130720.984,247308.016
133000,-249918.378,43131.185,23418.323,1.0502,254691.799,129708.201,248320.799
134000,-250961.844,43053.168,23375.963,1.0443,255698.764,128701.236,249327.764
135000,-251999.326,42974.125,23333.046,1.0385,256699.955,127700.045,250328.955
136000,-253030.870,42894.069,23289.579,1.0327,257695.415,126704.585,251324.415
137000,-254056.520,42813.014,23245.570,1.0269,258685.187,125714.813,252314.187
138000,-255076.320,42730.974,23201.026,1.0212,259669.314,124730.686,253298.314
139000,-256090.313,42647.960,23155.953,1.0156,260647.837,123752.163,254276.837
140000,-257098.541,42563.986,23110.359,1.0099,261620.797,122779.203,255249.797
141000,-258101.046,42479.065,23064.251,1.0044,262588.234,121811.766,256217.234
142000,-259097.869,42393.209,23017.635,0.9988,263550.188,120849.812,257179.188
143000,-260089.051,42306.430,22970.517,0.9933,264506.697,119893.303,258135.697
144000,-261074.630,42218.739,22922.905,0.9879,265457.801,118942.199,259086.801
145000,-262054.646,42130.149,22874.805,0.9825,266403.536,117996.464,260032.536
146000,-263029.138,42040.671,22826.222,0.9771,267343.939,117056.061,260972.939
147000,-263998.142,41950.315,22777.163,0.9718,268279.047,116120.953,261908.047
148000,-264961.697,41859.094,22727.633,0.9665,269208.896,115191.104,262837.896
149000,-265919.838,41767.017,22677.640,0.9612,270133.521,114266.479,263762.521
150000,-266872.602,41674.096,22627.188,0.9560,271052.957,113347.043,264681.957
151000,-267820.025,41580.340,22576.283,0.9508,271967.238,112432.762,265596.238
152000,-268762.140,41485.761,22524.930,0.9457,272876.398,111523.602,266505.398
153000,-269698.983,41390.368,22473.136,0.9406,273780.470,110619.530,267409.470
154000,-270630.588,41294.170,22420.905,0.9355,274679.487,109720.513,268308.487
155000,-271556.987,41197.179,22368.243,0.9304,275573.481,108826.519,269202.481
156000,-272478.214,41099.403,22315.155,0.9254,276462.483,107937.517,270091.483
157000,-273394.301,41000.852,22261.646,0.9204,277346.524,107053.476,270975.524
158000,-274305.280,40901.534,22207.721,0.9155,278225.637,106174.363,271854.637
159000,-275211.182,40801.460,22153.385,0.9106,279099.850,105300.150,272728.850
160000,-276112.038,40700.637,22098.643,0.9057,279969.194,104430.806,273598.194
161000,-277007.879,40599.075,22043.499,0.9008,280833.698,103566.302,274462.698
162000,-277898.735,40496.783,21987.959,0.8960,281693.391,102706.609,275322.391
163000,-278784.635,40393.768,21932.027,0.8912,282548.302,101851.698,276177.302
164000,-279665.609,40290.040,21875.707,0.8865,283398.459,101001.541,277027.459
165000,-280541.685,40185.606,21819.004,0.8817,284243.890,100156.110,277872.890
166000,-281412.892,40080.474,21761.922,0.8770,285084.622,99315.378,278713.622
167000,-282279.258,39974.653,21704.466,0.8724,285920.681,98479.319,279549.681
168000,-283140.809,39868.150,21646.639,0.8677,286752.096,97647.904,280381.096
169000,-283997.575,39760.973,21588.447,0.8631,287578.891,96821.109,281207.891
170000,-284849.580,39653.130,21529.893,0.8585,288401.093,95998.907,282030.093
171000,-285696.852,39544.628,21470.981,0.8539,289218.727,95181.273,282847.727
172000,-286539.417,39435.475,21411.716,0.8494,290031.819,94368.181,283660.819
173000,-287377.301,39325.677,21352.100,0.8449,290840.393,93559.607,284469.393
174000,-288210.528,39215.242,21292.139,0.8404,291644.473,92755.527,285273.473
175000,-289039.124,39104.176,21231.835,0.8360,292444.084,91955.916,286073.084
176000,-289863.113,38992.488,21171.194,0.8315,293239.251,91160.749,286868.251
177000,-290682.521,38880.183,21110.217,0.8271,294029.995,90370.005,287658.995
178000,-291497.370,38767.268,21048.909,0.8227,294816.340,89583.660,288445.340
179000,-292307.685,38653.751,20987.274,0.8184,295598.310,88801.690,289227.310
180000,-293113.489,38539.637,20925.315,0.8140,296375.927,88024.073,290004.927
181000,-293914.805,38424.933,20863.036,0.8097,297149.212,87250.788,290778.212
