[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------< com.example:lunar-flyby-orekit >-------------------
[INFO] Building lunar-flyby-orekit 1.0-SNAPSHOT
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.2.0:java (default-cli) @ lunar-flyby-orekit ---
Orekit inicializado correctamente.
========================================
      LUNAR FLYBY SIMULATOR
========================================

Simulación iniciada.

Tiempo: 0 s | X: 6611.36 km | Y: 0.00 km | Z: 0.00 km | Velocidad: 7.80 km/s | Tierra: 6611.36 km
Tiempo: 10 s | X: 6610.90 km | Y: 68.58 km | Z: 37.23 km | Velocidad: 7.80 km/s | Tierra: 6611.36 km
Tiempo: 20 s | X: 6609.53 km | Y: 137.14 km | Z: 74.46 km | Velocidad: 7.80 km/s | Tierra: 6611.37 km
Tiempo: 30 s | X: 6607.25 km | Y: 205.69 km | Z: 111.68 km | Velocidad: 7.80 km/s | Tierra: 6611.40 km
Tiempo: 40 s | X: 6604.06 km | Y: 274.21 km | Z: 148.88 km | Velocidad: 7.80 km/s | Tierra: 6611.43 km
Tiempo: 50 s | X: 6599.96 km | Y: 342.69 km | Z: 186.07 km | Velocidad: 7.80 km/s | Tierra: 6611.47 km
Tiempo: 60 s | X: 6594.95 km | Y: 411.13 km | Z: 223.22 km | Velocidad: 7.80 km/s | Tierra: 6611.52 km
Tiempo: 70 s | X: 6589.03 km | Y: 479.50 km | Z: 260.35 km | Velocidad: 7.80 km/s | Tierra: 6611.58 km
Tiempo: 80 s | X: 6582.20 km | Y: 547.81 km | Z: 297.44 km | Velocidad: 7.80 km/s | Tierra: 6611.65 km
Tiempo: 90 s | X: 6574.46 km | Y: 616.05 km | Z: 334.49 km | Velocidad: 7.80 km/s | Tierra: 6611.72 km
Tiempo: 100 s | X: 6565.81 km | Y: 684.20 km | Z: 371.49 km | Velocidad: 7.80 km/s | Tierra: 6611.81 km
Tiempo: 110 s | X: 6556.26 km | Y: 752.26 km | Z: 408.44 km | Velocidad: 7.80 km/s | Tierra: 6611.91 km
Tiempo: 120 s | X: 6545.81 km | Y: 820.21 km | Z: 445.34 km | Velocidad: 7.80 km/s | Tierra: 6612.01 km
Tiempo: 130 s | X: 6534.45 km | Y: 888.05 km | Z: 482.17 km | Velocidad: 7.80 km/s | Tierra: 6612.12 km
Tiempo: 140 s | X: 6522.19 km | Y: 955.77 km | Z: 518.94 km | Velocidad: 7.80 km/s | Tierra: 6612.25 km
Tiempo: 150 s | X: 6509.04 km | Y: 1023.35 km | Z: 555.64 km | Velocidad: 7.80 km/s | Tierra: 6612.38 km
Tiempo: 160 s | X: 6494.98 km | Y: 1090.80 km | Z: 592.25 km | Velocidad: 7.80 km/s | Tierra: 6612.52 km
Tiempo: 170 s | X: 6480.03 km | Y: 1158.09 km | Z: 628.79 km | Velocidad: 7.80 km/s | Tierra: 6612.67 km
Tiempo: 180 s | X: 6464.19 km | Y: 1225.23 km | Z: 665.24 km | Velocidad: 7.80 km/s | Tierra: 6612.83 km
Tiempo: 190 s | X: 6447.46 km | Y: 1292.19 km | Z: 701.60 km | Velocidad: 7.80 km/s | Tierra: 6612.99 km
Tiempo: 200 s | X: 6429.83 km | Y: 1358.98 km | Z: 737.87 km | Velocidad: 7.80 km/s | Tierra: 6613.17 km
Tiempo: 210 s | X: 6411.32 km | Y: 1425.58 km | Z: 774.03 km | Velocidad: 7.80 km/s | Tierra: 6613.36 km
Tiempo: 220 s | X: 6391.93 km | Y: 1491.98 km | Z: 810.08 km | Velocidad: 7.80 km/s | Tierra: 6613.55 km
Tiempo: 230 s | X: 6371.66 km | Y: 1558.18 km | Z: 846.02 km | Velocidad: 7.80 km/s | Tierra: 6613.75 km
Tiempo: 240 s | X: 6350.51 km | Y: 1624.16 km | Z: 881.85 km | Velocidad: 7.80 km/s | Tierra: 6613.96 km
Tiempo: 250 s | X: 6328.48 km | Y: 1689.92 km | Z: 917.55 km | Velocidad: 7.80 km/s | Tierra: 6614.18 km
Tiempo: 260 s | X: 6305.58 km | Y: 1755.45 km | Z: 953.13 km | Velocidad: 7.80 km/s | Tierra: 6614.41 km
Tiempo: 270 s | X: 6281.82 km | Y: 1820.74 km | Z: 988.58 km | Velocidad: 7.80 km/s | Tierra: 6614.65 km
Tiempo: 280 s | X: 6257.19 km | Y: 1885.77 km | Z: 1023.89 km | Velocidad: 7.80 km/s | Tierra: 6614.90 km
Tiempo: 290 s | X: 6231.69 km | Y: 1950.55 km | Z: 1059.06 km | Velocidad: 7.80 km/s | Tierra: 6615.15 km
Tiempo: 300 s | X: 6205.34 km | Y: 2015.05 km | Z: 1094.08 km | Velocidad: 7.80 km/s | Tierra: 6615.42 km
Tiempo: 310 s | X: 6178.14 km | Y: 2079.28 km | Z: 1128.96 km | Velocidad: 7.80 km/s | Tierra: 6615.69 km
Tiempo: 320 s | X: 6150.08 km | Y: 2143.22 km | Z: 1163.67 km | Velocidad: 7.80 km/s | Tierra: 6615.97 km
Tiempo: 330 s | X: 6121.18 km | Y: 2206.87 km | Z: 1198.23 km | Velocidad: 7.80 km/s | Tierra: 6616.26 km
Tiempo: 340 s | X: 6091.43 km | Y: 2270.21 km | Z: 1232.63 km | Velocidad: 7.80 km/s | Tierra: 6616.55 km
Tiempo: 350 s | X: 6060.85 km | Y: 2333.24 km | Z: 1266.85 km | Velocidad: 7.80 km/s | Tierra: 6616.86 km
Tiempo: 360 s | X: 6029.43 km | Y: 2395.96 km | Z: 1300.90 km | Velocidad: 7.80 km/s | Tierra: 6617.17 km
Tiempo: 370 s | X: 5997.19 km | Y: 2458.34 km | Z: 1334.77 km | Velocidad: 7.80 km/s | Tierra: 6617.50 km
Tiempo: 380 s | X: 5964.12 km | Y: 2520.38 km | Z: 1368.45 km | Velocidad: 7.80 km/s | Tierra: 6617.83 km
Tiempo: 390 s | X: 5930.22 km | Y: 2582.07 km | Z: 1401.95 km | Velocidad: 7.80 km/s | Tierra: 6618.17 km
Tiempo: 400 s | X: 5895.52 km | Y: 2643.41 km | Z: 1435.26 km | Velocidad: 7.80 km/s | Tierra: 6618.51 km
Tiempo: 410 s | X: 5860.00 km | Y: 2704.39 km | Z: 1468.37 km | Velocidad: 7.79 km/s | Tierra: 6618.87 km
Tiempo: 420 s | X: 5823.68 km | Y: 2765.00 km | Z: 1501.27 km | Velocidad: 7.79 km/s | Tierra: 6619.23 km
Tiempo: 430 s | X: 5786.55 km | Y: 2825.22 km | Z: 1533.97 km | Velocidad: 7.79 km/s | Tierra: 6619.60 km
Tiempo: 440 s | X: 5748.63 km | Y: 2885.06 km | Z: 1566.46 km | Velocidad: 7.79 km/s | Tierra: 6619.98 km
Tiempo: 450 s | X: 5709.93 km | Y: 2944.50 km | Z: 1598.73 km | Velocidad: 7.79 km/s | Tierra: 6620.37 km
Tiempo: 460 s | X: 5670.43 km | Y: 3003.54 km | Z: 1630.79 km | Velocidad: 7.79 km/s | Tierra: 6620.76 km
Tiempo: 470 s | X: 5630.16 km | Y: 3062.16 km | Z: 1662.62 km | Velocidad: 7.79 km/s | Tierra: 6621.17 km
Tiempo: 480 s | X: 5589.12 km | Y: 3120.37 km | Z: 1694.22 km | Velocidad: 7.79 km/s | Tierra: 6621.58 km
Tiempo: 490 s | X: 5547.30 km | Y: 3178.14 km | Z: 1725.59 km | Velocidad: 7.79 km/s | Tierra: 6622.00 km
Tiempo: 500 s | X: 5504.73 km | Y: 3235.48 km | Z: 1756.72 km | Velocidad: 7.79 km/s | Tierra: 6622.42 km
Tiempo: 510 s | X: 5461.40 km | Y: 3292.38 km | Z: 1787.61 km | Velocidad: 7.79 km/s | Tierra: 6622.86 km
Tiempo: 520 s | X: 5417.32 km | Y: 3348.82 km | Z: 1818.26 km | Velocidad: 7.79 km/s | Tierra: 6623.30 km
Tiempo: 530 s | X: 5372.50 km | Y: 3404.80 km | Z: 1848.66 km | Velocidad: 7.79 km/s | Tierra: 6623.74 km
Tiempo: 540 s | X: 5326.94 km | Y: 3460.32 km | Z: 1878.80 km | Velocidad: 7.79 km/s | Tierra: 6624.20 km
Tiempo: 550 s | X: 5280.65 km | Y: 3515.36 km | Z: 1908.69 km | Velocidad: 7.79 km/s | Tierra: 6624.66 km
Tiempo: 560 s | X: 5233.64 km | Y: 3569.92 km | Z: 1938.31 km | Velocidad: 7.79 km/s | Tierra: 6625.13 km
Tiempo: 570 s | X: 5185.91 km | Y: 3623.99 km | Z: 1967.67 km | Velocidad: 7.79 km/s | Tierra: 6625.61 km
Tiempo: 580 s | X: 5137.47 km | Y: 3677.57 km | Z: 1996.76 km | Velocidad: 7.79 km/s | Tierra: 6626.09 km
Tiempo: 590 s | X: 5088.33 km | Y: 3730.64 km | Z: 2025.57 km | Velocidad: 7.79 km/s | Tierra: 6626.59 km
Tiempo: 600 s | X: 5038.48 km | Y: 3783.20 km | Z: 2054.11 km | Velocidad: 7.79 km/s | Tierra: 6627.08 km
Tiempo: 610 s | X: 4987.95 km | Y: 3835.24 km | Z: 2082.36 km | Velocidad: 7.78 km/s | Tierra: 6627.59 km
Tiempo: 620 s | X: 4936.74 km | Y: 3886.75 km | Z: 2110.33 km | Velocidad: 7.78 km/s | Tierra: 6628.10 km
Tiempo: 630 s | X: 4884.85 km | Y: 3937.74 km | Z: 2138.02 km | Velocidad: 7.78 km/s | Tierra: 6628.62 km
Tiempo: 640 s | X: 4832.29 km | Y: 3988.18 km | Z: 2165.41 km | Velocidad: 7.78 km/s | Tierra: 6629.15 km
Tiempo: 650 s | X: 4779.07 km | Y: 4038.08 km | Z: 2192.50 km | Velocidad: 7.78 km/s | Tierra: 6629.68 km
Tiempo: 660 s | X: 4725.19 km | Y: 4087.43 km | Z: 2219.29 km | Velocidad: 7.78 km/s | Tierra: 6630.22 km
Tiempo: 670 s | X: 4670.67 km | Y: 4136.22 km | Z: 2245.78 km | Velocidad: 7.78 km/s | Tierra: 6630.76 km
Tiempo: 680 s | X: 4615.51 km | Y: 4184.44 km | Z: 2271.97 km | Velocidad: 7.78 km/s | Tierra: 6631.31 km
Tiempo: 690 s | X: 4559.72 km | Y: 4232.09 km | Z: 2297.84 km | Velocidad: 7.78 km/s | Tierra: 6631.87 km
Tiempo: 700 s | X: 4503.31 km | Y: 4279.16 km | Z: 2323.40 km | Velocidad: 7.78 km/s | Tierra: 6632.44 km
Tiempo: 710 s | X: 4446.28 km | Y: 4325.65 km | Z: 2348.64 km | Velocidad: 7.78 km/s | Tierra: 6633.01 km
Tiempo: 720 s | X: 4388.65 km | Y: 4371.55 km | Z: 2373.56 km | Velocidad: 7.78 km/s | Tierra: 6633.58 km
Tiempo: 730 s | X: 4330.41 km | Y: 4416.85 km | Z: 2398.15 km | Velocidad: 7.78 km/s | Tierra: 6634.17 km
Tiempo: 740 s | X: 4271.59 km | Y: 4461.54 km | Z: 2422.42 km | Velocidad: 7.78 km/s | Tierra: 6634.75 km
Tiempo: 750 s | X: 4212.18 km | Y: 4505.63 km | Z: 2446.36 km | Velocidad: 7.78 km/s | Tierra: 6635.35 km
Tiempo: 760 s | X: 4152.19 km | Y: 4549.11 km | Z: 2469.96 km | Velocidad: 7.77 km/s | Tierra: 6635.95 km
Tiempo: 770 s | X: 4091.64 km | Y: 4591.96 km | Z: 2493.23 km | Velocidad: 7.77 km/s | Tierra: 6636.55 km
Tiempo: 780 s | X: 4030.54 km | Y: 4634.19 km | Z: 2516.16 km | Velocidad: 7.77 km/s | Tierra: 6637.16 km
Tiempo: 790 s | X: 3968.88 km | Y: 4675.78 km | Z: 2538.74 km | Velocidad: 7.77 km/s | Tierra: 6637.78 km
Tiempo: 800 s | X: 3906.68 km | Y: 4716.74 km | Z: 2560.98 km | Velocidad: 7.77 km/s | Tierra: 6638.40 km
Tiempo: 810 s | X: 3843.95 km | Y: 4757.05 km | Z: 2582.87 km | Velocidad: 7.77 km/s | Tierra: 6639.03 km
Tiempo: 820 s | X: 3780.70 km | Y: 4796.72 km | Z: 2604.41 km | Velocidad: 7.77 km/s | Tierra: 6639.66 km
Tiempo: 830 s | X: 3716.93 km | Y: 4835.73 km | Z: 2625.59 km | Velocidad: 7.77 km/s | Tierra: 6640.30 km
Tiempo: 840 s | X: 3652.65 km | Y: 4874.09 km | Z: 2646.41 km | Velocidad: 7.77 km/s | Tierra: 6640.94 km
Tiempo: 850 s | X: 3587.88 km | Y: 4911.78 km | Z: 2666.88 km | Velocidad: 7.77 km/s | Tierra: 6641.59 km
Tiempo: 860 s | X: 3522.62 km | Y: 4948.80 km | Z: 2686.98 km | Velocidad: 7.77 km/s | Tierra: 6642.24 km
Tiempo: 870 s | X: 3456.88 km | Y: 4985.16 km | Z: 2706.72 km | Velocidad: 7.77 km/s | Tierra: 6642.90 km
Tiempo: 880 s | X: 3390.67 km | Y: 5020.83 km | Z: 2726.09 km | Velocidad: 7.77 km/s | Tierra: 6643.56 km
Tiempo: 890 s | X: 3324.00 km | Y: 5055.82 km | Z: 2745.09 km | Velocidad: 7.77 km/s | Tierra: 6644.23 km
Tiempo: 900 s | X: 3256.88 km | Y: 5090.12 km | Z: 2763.71 km | Velocidad: 7.76 km/s | Tierra: 6644.90 km
Tiempo: 910 s | X: 3189.31 km | Y: 5123.73 km | Z: 2781.96 km | Velocidad: 7.76 km/s | Tierra: 6645.58 km
Tiempo: 920 s | X: 3121.32 km | Y: 5156.65 km | Z: 2799.83 km | Velocidad: 7.76 km/s | Tierra: 6646.26 km
Tiempo: 930 s | X: 3052.90 km | Y: 5188.87 km | Z: 2817.32 km | Velocidad: 7.76 km/s | Tierra: 6646.94 km
Tiempo: 940 s | X: 2984.06 km | Y: 5220.38 km | Z: 2834.43 km | Velocidad: 7.76 km/s | Tierra: 6647.63 km
Tiempo: 950 s | X: 2914.82 km | Y: 5251.18 km | Z: 2851.16 km | Velocidad: 7.76 km/s | Tierra: 6648.32 km
Tiempo: 960 s | X: 2845.18 km | Y: 5281.27 km | Z: 2867.50 km | Velocidad: 7.76 km/s | Tierra: 6649.02 km
Tiempo: 970 s | X: 2775.16 km | Y: 5310.65 km | Z: 2883.45 km | Velocidad: 7.76 km/s | Tierra: 6649.72 km
Tiempo: 980 s | X: 2704.76 km | Y: 5339.30 km | Z: 2899.00 km | Velocidad: 7.76 km/s | Tierra: 6650.42 km
Tiempo: 990 s | X: 2634.00 km | Y: 5367.23 km | Z: 2914.17 km | Velocidad: 7.76 km/s | Tierra: 6651.13 km
Tiempo: 1000 s | X: 2562.88 km | Y: 5394.44 km | Z: 2928.94 km | Velocidad: 7.76 km/s | Tierra: 6651.84 km
Tiempo: 1010 s | X: 2491.41 km | Y: 5420.91 km | Z: 2943.31 km | Velocidad: 7.76 km/s | Tierra: 6652.56 km
Tiempo: 1020 s | X: 2419.60 km | Y: 5446.65 km | Z: 2957.29 km | Velocidad: 7.75 km/s | Tierra: 6653.27 km
Tiempo: 1030 s | X: 2347.47 km | Y: 5471.65 km | Z: 2970.87 km | Velocidad: 7.75 km/s | Tierra: 6653.99 km
Tiempo: 1040 s | X: 2275.02 km | Y: 5495.92 km | Z: 2984.04 km | Velocidad: 7.75 km/s | Tierra: 6654.72 km
Tiempo: 1050 s | X: 2202.26 km | Y: 5519.43 km | Z: 2996.81 km | Velocidad: 7.75 km/s | Tierra: 6655.45 km
Tiempo: 1060 s | X: 2129.20 km | Y: 5542.21 km | Z: 3009.17 km | Velocidad: 7.75 km/s | Tierra: 6656.18 km
Tiempo: 1070 s | X: 2055.86 km | Y: 5564.23 km | Z: 3021.13 km | Velocidad: 7.75 km/s | Tierra: 6656.91 km
Tiempo: 1080 s | X: 1982.24 km | Y: 5585.50 km | Z: 3032.68 km | Velocidad: 7.75 km/s | Tierra: 6657.65 km
Tiempo: 1090 s | X: 1908.35 km | Y: 5606.02 km | Z: 3043.82 km | Velocidad: 7.75 km/s | Tierra: 6658.39 km
Tiempo: 1100 s | X: 1834.20 km | Y: 5625.78 km | Z: 3054.55 km | Velocidad: 7.75 km/s | Tierra: 6659.13 km
Tiempo: 1110 s | X: 1759.81 km | Y: 5644.78 km | Z: 3064.87 km | Velocidad: 7.75 km/s | Tierra: 6659.87 km
Tiempo: 1120 s | X: 1685.17 km | Y: 5663.02 km | Z: 3074.77 km | Velocidad: 7.75 km/s | Tierra: 6660.62 km
Tiempo: 1130 s | X: 1610.31 km | Y: 5680.50 km | Z: 3084.26 km | Velocidad: 7.75 km/s | Tierra: 6661.37 km
Tiempo: 1140 s | X: 1535.24 km | Y: 5697.21 km | Z: 3093.33 km | Velocidad: 7.74 km/s | Tierra: 6662.12 km
Tiempo: 1150 s | X: 1459.95 km | Y: 5713.15 km | Z: 3101.99 km | Velocidad: 7.74 km/s | Tierra: 6662.87 km
Tiempo: 1160 s | X: 1384.47 km | Y: 5728.32 km | Z: 3110.22 km | Velocidad: 7.74 km/s | Tierra: 6663.62 km
Tiempo: 1170 s | X: 1308.80 km | Y: 5742.72 km | Z: 3118.04 km | Velocidad: 7.74 km/s | Tierra: 6664.38 km
Tiempo: 1180 s | X: 1232.96 km | Y: 5756.35 km | Z: 3125.44 km | Velocidad: 7.74 km/s | Tierra: 6665.14 km
Tiempo: 1190 s | X: 1156.95 km | Y: 5769.20 km | Z: 3132.42 km | Velocidad: 7.74 km/s | Tierra: 6665.90 km
Tiempo: 1200 s | X: 1080.79 km | Y: 5781.27 km | Z: 3138.97 km | Velocidad: 7.74 km/s | Tierra: 6666.66 km
Tiempo: 1210 s | X: 1004.48 km | Y: 5792.57 km | Z: 3145.11 km | Velocidad: 7.74 km/s | Tierra: 6667.42 km
Tiempo: 1220 s | X: 928.03 km | Y: 5803.09 km | Z: 3150.82 km | Velocidad: 7.74 km/s | Tierra: 6668.19 km
Tiempo: 1230 s | X: 851.46 km | Y: 5812.83 km | Z: 3156.11 km | Velocidad: 7.74 km/s | Tierra: 6668.95 km
Tiempo: 1240 s | X: 774.78 km | Y: 5821.78 km | Z: 3160.97 km | Velocidad: 7.74 km/s | Tierra: 6669.72 km
Tiempo: 1250 s | X: 697.99 km | Y: 5829.96 km | Z: 3165.41 km | Velocidad: 7.73 km/s | Tierra: 6670.49 km
Tiempo: 1260 s | X: 621.11 km | Y: 5837.35 km | Z: 3169.42 km | Velocidad: 7.73 km/s | Tierra: 6671.26 km
Tiempo: 1270 s | X: 544.14 km | Y: 5843.96 km | Z: 3173.01 km | Velocidad: 7.73 km/s | Tierra: 6672.03 km
