Tiempo(s),X(km),Y(km),Z(km),Velocidad(km/s),DistanciaTierra(km),DistanciaLuna(km),Altitud(km)
0,-24468.232,-12677.926,-6901.348,4.2977,28408.675,366741.693,22030.538
66,-24588.079,-12901.973,-7022.497,4.2710,28641.753,366577.910,22263.616
362,-25107.400,-13901.530,-7563.004,4.1561,29678.833,365863.087,23300.696
602,-25502.919,-14696.801,-7993.003,4.0681,30500.540,365312.625,24122.403
842,-25877.791,-15480.178,-8416.532,3.9845,31307.091,364785.656,24928.954
1082,-26233.289,-16251.971,-8833.763,3.9049,32099.024,364280.820,25720.887
1322,-26570.566,-17012.481,-9244.859,3.8289,32876.845,363796.885,26498.708
1562,-26890.669,-17761.998,-9649.982,3.7563,33641.029,363332.722,27262.892
1802,-27194.549,-18500.803,-10049.283,3.6867,34392.024,362887.302,28013.887
2042,-27483.074,-19229.164,-10442.911,3.6201,35130.250,362459.680,28752.113
2282,-27757.039,-19947.341,-10831.008,3.5560,35856.107,362048.984,29477.970
2522,-28017.176,-20655.582,-11213.709,3.4945,36569.967,361654.413,30191.830
2762,-28264.155,-21354.126,-11591.145,3.4352,37272.186,361275.223,30894.049
3002,-28498.599,-22043.199,-11963.441,3.3781,37963.096,360910.725,31584.959
3242,-28721.080,-22723.022,-12330.715,3.3229,38643.016,360560.281,32264.879
3482,-28932.131,-23393.802,-12693.081,3.2697,39312.244,360223.295,32934.107
3722,-29132.246,-24055.741,-13050.651,3.2182,39971.063,359899.210,33592.926
3962,-29321.885,-24709.031,-13403.527,3.1683,40619.745,359587.509,34241.608
4202,-29501.477,-25353.855,-13751.811,3.1200,41258.544,359287.704,34880.407
4317,-29584.090,-25660.574,-13917.499,3.0970,41561.764,359147.995,35183.627
4422,-29657.409,-25938.362,-14067.535,3.0767,41836.061,359023.016,35457.924
4527,-29728.947,-26214.593,-14216.726,3.0566,42108.556,358900.151,35730.419
4632,-29798.736,-26489.280,-14365.081,3.0367,42379.266,358779.366,36001.129
4737,-29866.804,-26762.439,-14512.606,3.0171,42648.210,358660.628,36270.073
4842,-29933.180,-27034.081,-14659.310,2.9978,42915.407,358543.903,36537.270
4947,-29997.892,-27304.220,-14805.197,2.9787,43180.873,358429.159,36802.736
5052,-30060.967,-27572.869,-14950.277,2.9598,43444.627,358316.366,37066.490
5157,-30122.430,-27840.040,-15094.556,2.9411,43706.684,358205.493,37328.547
5262,-30182.308,-28105.746,-15238.039,2.9227,43967.062,358096.511,37588.925
5327,-30217.260,-28267.398,-15325.347,2.9092,44124.764,358031.689,37746.627
5600,-30359.521,-28948.953,-15695.357,2.8632,44789.358,357763.417,38411.221
5840,-30476.012,-29540.481,-16014.982,2.8235,45364.159,357537.872,38986.022
6080,-30585.008,-30124.743,-16330.667,2.7848,45930.747,357321.294,39552.610
6320,-30686.756,-30701.867,-16642.483,2.7471,46489.287,357113.392,40111.150
6560,-30781.491,-31271.974,-16950.495,2.7104,47039.939,356913.892,40661.802
6800,-30869.436,-31835.183,-17254.768,2.6745,47582.854,356722.532,41204.717
7040,-30950.803,-32391.607,-17555.364,2.6394,48118.179,356539.064,41740.042
7280,-31025.790,-32941.355,-17852.340,2.6051,48646.054,356363.252,42267.917
7520,-31094.590,-33484.533,-18145.757,2.5716,49166.614,356194.870,42788.477
7760,-31157.382,-34021.242,-18435.667,2.5388,49679.988,356033.702,43301.851
8000,-31214.341,-34551.580,-18722.125,2.5067,50186.300,355879.545,43808.163
8240,-31265.630,-35075.642,-19005.181,2.4753,50685.671,355732.201,44307.534
8480,-31311.406,-35593.519,-19284.887,2.4445,51178.214,355591.483,44800.077
8720,-31351.819,-36105.299,-19561.289,2.4144,51664.041,355457.212,45285.904
8960,-31387.012,-36611.068,-19834.433,2.3848,52143.260,355329.216,45765.123
9200,-31417.122,-37110.907,-20104.366,2.3558,52615.972,355207.330,46237.835
9440,-31442.281,-37604.896,-20371.129,2.3274,53082.277,355091.397,46704.140
